<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
KHD,20190904,19.47,19.47,19.47,19.47,100,37.00,37.00,37.00,37.00,0,0,0
KHD,20190903,17.00,17.05,17.00,17.05,600,32.30,32.40,32.30,32.40,0,500,100
KHD,20190830,16.58,20.79,16.58,16.84,4100,31.50,39.50,31.50,32.00,0,0,100
KHD,20190829,19.47,19.47,19.47,19.47,500,37.00,37.00,37.00,37.00,0,500,0
KHD,20190816,21.05,21.05,21.05,21.05,200,40.00,40.00,40.00,40.00,0,0,0
KHD,20190703,34.95,34.95,34.95,34.95,100,66.40,66.40,66.40,66.40,0,100,0
KHD,20190701,30.42,30.42,30.42,30.42,100,57.80,57.80,57.80,57.80,0,100,0
KHD,20190628,26.47,26.47,26.47,26.47,100,50.30,50.30,50.30,50.30,0,100,0
KHD,20190626,23.05,23.05,23.05,23.05,100,43.80,43.80,43.80,43.80,0,100,0
KHD,20190625,20.05,20.05,20.05,20.05,100,38.10,38.10,38.10,38.10,0,0,0
KHD,20190515,23.58,23.58,23.58,23.58,100,44.80,44.80,44.80,44.80,0,100,0
KHD,20190506,22.10,22.10,22.10,22.11,100,42.00,42.00,42.00,42.00,0,100,0
KHD,20190426,19.89,19.89,19.89,19.89,100,37.80,37.80,37.80,37.80,0,0,0
KHD,20190425,19.90,19.90,19.90,19.89,100,37.80,37.80,37.80,37.80,0,100,0
KHD,20190419,18.32,18.32,18.32,18.32,100,34.80,34.80,34.80,34.80,0,0,0
KHD,20190410,17.36,17.36,17.36,17.37,100,33.00,33.00,33.00,33.00,0,100,0
KHD,20190408,16.48,16.48,16.48,16.47,100,31.30,31.30,31.30,31.30,0,100,0
KHD,20190405,14.37,14.37,14.37,14.37,100,27.30,27.30,27.30,27.30,0,100,0
KHD,20190403,12.52,12.52,12.52,12.53,100,23.80,23.80,23.80,23.80,0,100,0
KHD,20190401,10.89,10.89,10.89,10.89,100,20.70,20.70,20.70,20.70,0,100,0
KHD,20190328,9.47,9.47,9.47,9.47,100,18.00,18.00,18.00,18.00,0,0,100
KHD,20190326,8.26,8.26,8.26,8.26,100,15.70,15.70,15.70,15.70,0,0,0
KHD,20190322,7.21,7.21,7.21,7.21,100,13.70,13.70,13.70,13.70,0,100,100
KHD,20181005,5.15,5.15,5.15,5.16,100,9.80,9.80,9.80,9.80,0,0,0
KHD,20180515,3.69,3.69,3.69,3.68,100,7.00,7.00,7.00,7.00,0,0,100
KHD,20171204,6.10,6.10,6.10,6.11,100,13.60,13.60,13.60,13.60,0,0,100
KHD,20171123,6.92,6.92,6.92,6.91,100,15.40,15.40,15.40,15.40,0,0,100
KHD,20171122,8.12,8.12,8.12,8.13,100,18.10,18.10,18.10,18.10,0,0,0
KHD,20171120,7.10,7.10,7.10,7.09,100,15.80,15.80,15.80,15.80,0,0,0
KHD,20171113,6.20,6.20,6.20,6.20,100,13.80,13.80,13.80,13.80,0,0,0
KHD,20171110,5.38,5.38,5.38,5.39,100,12.00,12.00,12.00,12.00,0,0,0
KHD,20171109,4.72,4.72,4.72,4.71,100,10.50,10.50,10.50,10.50,0,0,0
KHD,20170907,3.37,3.37,3.37,3.37,100,7.50,7.50,7.50,7.50,0,0,100
KHD,20170905,3.95,3.95,3.95,3.95,100,8.80,8.80,8.80,8.80,0,0,100
KHD,20170823,4.62,4.62,4.62,4.62,100,10.30,10.30,10.30,10.30,0,0,100
KHD,20170814,4.62,4.62,4.62,4.62,100,10.30,10.30,10.30,10.30,0,0,100
KHD,20170810,5.43,5.43,5.43,5.43,100,12.10,12.10,12.10,12.10,0,0,100
KHD,20170809,6.38,6.38,6.38,6.37,100,14.20,14.20,14.20,14.20,0,0,100
KHD,20170808,7.50,7.50,7.50,7.50,100,16.70,16.70,16.70,16.70,0,0,100
KHD,20170804,8.80,8.80,8.80,8.80,100,19.60,19.60,19.60,19.60,0,0,100
KHD,20170801,10.32,10.32,10.32,10.33,100,23.00,23.00,23.00,23.00,0,0,100
KHD,20170728,11.67,11.67,11.67,11.67,100,26.00,26.00,26.00,26.00,0,0,100
KHD,20170721,13.69,13.69,13.69,13.69,7500,30.50,30.50,30.50,30.50,5,7500,0
KHD,20170720,13.69,13.69,13.69,13.69,23200,30.50,30.50,30.50,30.50,0,0,0
